Date,rstar (filtered),g (filtered),z (filtered),output gap (filtered),,All results are output from the Stage 3 model.,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap,,Date,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1974-04-01,7.98635032174988,3.59122201627808,0.215831960742377,1.86415673208626,,,,,,,,,,,,,,,,1974-04-01,2.16123431012017,1.51703769521352,0.257236010280885,,4.01474967825012,,1974-04-01,7.2506362589786,3.34455367354311,0.0138473297949464,1.09191005640389
1974-07-01,7.99628642040977,3.50362940816909,0.415296851137865,1.43235566793282,,,,,,,,,,,,,,,,1974-07-01,2.15457173632999,1.51747941278949,0.25664945198652,,5.02631357959024,,1974-07-01,7.23987917575492,3.33989218025809,0.0131765678838393,-0.0619115931523311
1974-10-01,7.91956542708386,3.47656020389703,0.397146936921087,0.430496112455899,,,,,,,,,,,,,,,,1974-10-01,2.16398941138655,1.51917289600969,0.256062078420751,,1.97973457291614,,1974-10-01,7.23878654467451,3.33714919869819,0.0180190721079312,-1.24064048994751
1975-01-01,7.52707110653164,3.3810390648535,0.211336792796183,-0.991436072677288,,,,,,,,,,,,,,,,1975-01-01,2.18514002470011,1.52180345417853,0.255479606922624,,-0.935271106531641,,1975-01-01,7.24444551187207,3.33526914211149,0.0277460178822726,-2.37843692415265
1975-04-01,7.37526659801851,3.41443995883733,-0.0127390091092606,-1.97506119609625,,,,,,,,,,,,,,,,1975-04-01,2.19143281255259,1.52527386472287,0.254931477993082,,-1.72006659801851,,1975-04-01,7.25543046288952,3.33514445646482,0.0390007578747162,-2.74358293482339
1975-07-01,7.47946147160706,3.47782938861094,-0.045703221123589,-1.91388837554155,,,,,,,,,,,,,,,,1975-07-01,2.19212877662475,1.52833333213775,0.254431860687018,,-1.05336147160706,,1975-07-01,7.26131989084576,3.33411861352562,0.0471098568394397,-2.48552231476515
1975-10-01,7.52483419369852,3.48884376783873,-0.0241628980419232,-1.52399584831358,,,,,,,,,,,,,,,,1975-10-01,2.19570295645604,1.5308650884038,0.253974750970028,,-1.89413419369852,,1975-10-01,7.26162022721792,3.33168938794398,0.0526664379939089,-2.06729021695241
1976-01-01,7.6389248669265,3.55973015300861,-0.0634528721287783,-1.06165145168518,,,,,,,,,,,,,,,,1976-01-01,2.21348601655949,1.53304201155674,0.253554735558981,,-2.6384248669265,,1976-01-01,7.25893538768425,3.32879567695999,0.0562428750481578,-1.51461879581461
1976-04-01,7.33430025793419,3.5113969450556,-0.263496344632465,-1.0719284727312,,,,,,,,,,,,,,,,1976-04-01,2.20340489742627,1.5348542729536,0.253147513704515,,-1.92790025793419,,1976-04-01,7.25438577233388,3.32467051389742,0.0606190947407302,-1.2740400895234
1976-07-01,7.27592933267842,3.46139254514204,-0.213670086339506,-0.729817351237216,,,,,,,,,,,,,,,,1976-07-01,2.18850304804148,1.53725189735206,0.252749758391378,,-1.77292933267842,,1976-07-01,7.25643224620453,3.32174727411373,0.0689907382360506,-1.1661690027347
1976-10-01,7.24077910446463,3.43368307942425,-0.188863867650883,-0.509279303567268,,,,,,,,,,,,,,,,1976-10-01,2.1807503693952,1.54007256455812,0.252364437486629,,-2.18457910446463,,1976-10-01,7.26353783764113,3.3198982551531,0.0800971504846878,-1.02723451974748
